Number,Player,Matchweek,Matchday,Injured,Minutes_Last_Game,Minutes_Prev_3_Games,Minutes_Last_30d,Days_Since_Last_Injury_Related,Days_Since_Last_Injury_Any,age,Pos,Days_Rest,Short_Rest_Flag_le3d,Matches_Last_10d,High_Minute_Flag_10d_3x85,Starts_Last_5,Consecutive_Starts,Rolling_Minutes_7d,Rolling_Minutes_28d,Minutes
9,Richarlison,5,2024-09-21,1,0.0,24.0,24.0,,0.0,28.0,FW,,,0,,,,,,0.0
10,James Maddison,5,2024-09-21,0,0.0,78.0,354.0,,,,,3.0,1.0,3,0.0,4.0,1.0,108.0,267.0,87.0
11,,5,2024-09-21,0,0.0,0.0,73.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,5,2024-09-21,0,0.0,72.0,434.0,,,22.0,DF,3.0,1.0,3,0.0,3.0,3.0,135.0,344.0,90.0
14,,5,2024-09-21,0,0.0,18.0,111.0,,,,,3.0,1.0,2,0.0,1.0,0.0,90.0,108.0,3.0
15,Lucas Bergvall,5,2024-09-21,0,0.0,12.0,109.0,,,19.0,MF,3.0,1.0,2,0.0,1.0,0.0,61.0,106.0,3.0
17,Cristian Romero,5,2024-09-21,0,0.0,90.0,540.0,,,27.0,DF,6.0,0.0,2,0.0,5.0,10.0,90.0,450.0,90.0
19,Dominic Solanke,5,2024-09-21,0,0.0,0.0,238.0,12.0,12.0,,,3.0,1.0,3,0.0,3.0,4.0,151.0,151.0,87.0
20,,5,2024-09-21,0,90.0,268.0,555.0,,,,,7.0,0.0,2,0.0,4.0,5.0,90.0,465.0,90.0
21,Dejan Kulusevski,5,2024-09-21,0,0.0,66.0,533.0,,,,,3.0,1.0,3,0.0,2.0,1.0,107.0,443.0,90.0
22,Brennan Johnson,5,2024-09-21,0,0.0,90.0,481.0,,,24.0,FW,3.0,1.0,3,0.0,2.0,1.0,140.0,412.0,69.0
23,,5,2024-09-21,0,0.0,90.0,357.0,,,,,6.0,0.0,2,0.0,4.0,5.0,90.0,270.0,87.0
24,Djed Spence,5,2024-09-21,0,0.0,18.0,63.0,,,25.0,DF,,,1,,,,,,0.0
28,Wilson Odobert,5,2024-09-21,1,0.0,66.0,179.0,,0.0,20.0,"FW,MF",,,2,,,,,,0.0
29,Pape Matar Sarr,5,2024-09-21,0,0.0,0.0,248.0,,,23.0,MF,3.0,1.0,3,0.0,3.0,0.0,113.0,227.0,21.0
30,Rodrigo Bentancur,5,2024-09-21,0,0.0,0.0,228.0,21.0,21.0,28.0,MF,3.0,1.0,3,0.0,4.0,3.0,157.0,166.0,62.0
37,Micky van de Ven,5,2024-09-21,0,0.0,90.0,270.0,12.0,12.0,24.0,DF,6.0,0.0,2,0.0,3.0,4.0,90.0,180.0,90.0
3,Radu Dragusin,6,2024-09-28,0,0.0,0.0,367.0,,,,,,,2,,,,,,0.0
4,Kevin Danso,6,2024-09-28,1,0.0,0.0,0.0,,0.0,27.0,DF,,,0,,,,,,0.0
6,João Palhinha,6,2024-09-28,0,0.0,0.0,173.0,,,30.0,MF,,,1,,,,,,0.0
7,Xavi Simons,6,2024-09-28,0,0.0,0.0,606.0,,,22.0,"FW,MF",,,3,,,,,,0.0
8,Yves Bissouma,6,2024-09-28,0,28.0,28.0,332.0,8.0,8.0,,,,,2,,,,,,0.0
9,Richarlison,6,2024-09-28,1,0.0,0.0,0.0,,0.0,28.0,FW,,,0,,,,,,0.0
10,James Maddison,6,2024-09-28,0,87.0,87.0,276.0,,,,,,,2,,,,,,0.0
11,,6,2024-09-28,0,0.0,0.0,73.0,,,,,,,0,,,,,,0.0
13,Destiny Udogie,6,2024-09-28,0,90.0,90.0,441.0,,,22.0,DF,,,3,,,,,,0.0
14,,6,2024-09-28,0,3.0,3.0,183.0,,,,,,,3,,,,,,0.0
15,Lucas Bergvall,6,2024-09-28,0,3.0,3.0,108.0,,,19.0,MF,,,3,,,,,,0.0
17,Cristian Romero,6,2024-09-28,0,90.0,90.0,450.0,,,27.0,DF,,,1,,,,,,0.0
19,Dominic Solanke,6,2024-09-28,0,87.0,87.0,322.0,19.0,19.0,,,,,3,,,,,,0.0
20,,6,2024-09-28,0,90.0,270.0,508.0,,,,,3.0,1.0,3,0.0,4.0,1.0,103.0,463.0,45.0
21,Dejan Kulusevski,6,2024-09-28,0,90.0,90.0,512.0,,,,,,,3,,,,,,0.0
22,Brennan Johnson,6,2024-09-28,0,69.0,69.0,436.0,,,24.0,FW,,,3,,,,,,0.0
23,,6,2024-09-28,0,87.0,87.0,267.0,,,,,,,1,,,,,,0.0
24,Djed Spence,6,2024-09-28,0,0.0,0.0,45.0,,,25.0,DF,,,1,,,,,,0.0
28,Wilson Odobert,6,2024-09-28,1,0.0,0.0,113.0,,0.0,20.0,"FW,MF",,,1,,,,,,0.0
29,Pape Matar Sarr,6,2024-09-28,0,21.0,21.0,338.0,,,23.0,MF,,,3,,,,,,0.0
30,Rodrigo Bentancur,6,2024-09-28,0,62.0,62.0,248.0,28.0,28.0,28.0,MF,,,3,,,,,,0.0
37,Micky van de Ven,6,2024-09-28,0,90.0,90.0,270.0,19.0,19.0,24.0,DF,,,2,,,,,,0.0
3,Radu Dragusin,7,2024-10-05,0,0.0,0.0,287.0,,,,,,,2,,,,,,0.0
4,Kevin Danso,7,2024-10-05,1,0.0,0.0,0.0,,0.0,27.0,DF,,,0,,,,,,0.0
6,João Palhinha,7,2024-10-05,0,0.0,0.0,171.0,,,30.0,MF,,,1,,,,,,0.0
7,Xavi Simons,7,2024-10-05,0,0.0,0.0,606.0,,,22.0,"FW,MF",,,2,,,,,,0.0
8,Yves Bissouma,7,2024-10-05,0,0.0,28.0,341.0,15.0,15.0,,,,,2,,,,,,0.0
9,Richarlison,7,2024-10-05,1,0.0,0.0,0.0,,0.0,28.0,FW,,,0,,,,,,0.0
10,James Maddison,7,2024-10-05,0,0.0,87.0,297.0,,,,,,,2,,,,,,0.0
11,,7,2024-10-05,0,0.0,0.0,20.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,7,2024-10-05,0,0.0,90.0,396.0,5.0,5.0,22.0,DF,,,2,,,,,,0.0
14,,7,2024-10-05,0,0.0,3.0,273.0,,,,,,,2,,,,,,0.0
15,Lucas Bergvall,7,2024-10-05,0,0.0,3.0,177.0,,,19.0,MF,,,3,,,,,,0.0
17,Cristian Romero,7,2024-10-05,0,0.0,90.0,540.0,,,27.0,DF,,,2,,,,,,0.0
19,Dominic Solanke,7,2024-10-05,0,0.0,87.0,421.0,26.0,26.0,,,,,3,,,,,,0.0
20,,7,2024-10-05,0,45.0,225.0,503.0,,,,,7.0,0.0,3,0.0,4.0,2.0,45.0,328.0,85.0
21,Dejan Kulusevski,7,2024-10-05,0,0.0,90.0,538.0,,,,,,,3,,,,,,0.0
22,Brennan Johnson,7,2024-10-05,0,0.0,69.0,492.0,,,24.0,FW,,,3,,,,,,0.0
23,,7,2024-10-05,0,0.0,87.0,357.0,,,,,,,2,,,,,,0.0
24,Djed Spence,7,2024-10-05,0,0.0,0.0,90.0,,,25.0,DF,,,1,,,,,,0.0
28,Wilson Odobert,7,2024-10-05,1,0.0,0.0,40.0,,0.0,20.0,"FW,MF",,,0,,,,,,0.0
29,Pape Matar Sarr,7,2024-10-05,0,0.0,21.0,388.0,,,23.0,MF,,,3,,,,,,0.0
30,Rodrigo Bentancur,7,2024-10-05,0,0.0,62.0,329.0,35.0,35.0,28.0,MF,,,2,,,,,,0.0
37,Micky van de Ven,7,2024-10-05,0,0.0,90.0,350.0,26.0,26.0,24.0,DF,,,2,,,,,,0.0
3,Radu Dragusin,8,2024-10-19,0,0.0,0.0,189.0,,,,,,,2,,,,,,0.0
4,Kevin Danso,8,2024-10-19,0,0.0,0.0,90.0,4.0,4.0,27.0,DF,,,1,,,,,,0.0
6,João Palhinha,8,2024-10-19,0,0.0,0.0,181.0,,,30.0,MF,,,2,,,,,,0.0
7,Xavi Simons,8,2024-10-19,0,0.0,0.0,688.0,,,22.0,"FW,MF",,,3,,,,,,0.0
8,Yves Bissouma,8,2024-10-19,0,0.0,28.0,458.0,29.0,29.0,,,4.0,0.0,3,0.0,2.0,1.0,90.0,378.0,80.0
9,Richarlison,8,2024-10-19,1,0.0,0.0,10.0,,0.0,28.0,FW,56.0,0.0,1,0.0,0.0,0.0,0.0,0.0,10.0
10,James Maddison,8,2024-10-19,0,0.0,87.0,318.0,,,,,13.0,0.0,1,0.0,3.0,2.0,0.0,273.0,45.0
11,,8,2024-10-19,0,0.0,0.0,24.0,,,,,,,0,,,,,,0.0
13,Destiny Udogie,8,2024-10-19,0,0.0,90.0,427.0,19.0,19.0,22.0,DF,5.0,0.0,3,0.0,2.0,1.0,16.0,340.0,87.0
14,,8,2024-10-19,0,0.0,3.0,186.0,,,,,16.0,0.0,1,0.0,3.0,0.0,0.0,183.0,3.0
15,Lucas Bergvall,8,2024-10-19,0,0.0,3.0,92.0,,,19.0,MF,,,0,,,,,,0.0
17,Cristian Romero,8,2024-10-19,0,0.0,90.0,540.0,,,27.0,DF,4.0,0.0,2,0.0,2.0,2.0,90.0,450.0,90.0
19,Dominic Solanke,8,2024-10-19,0,0.0,87.0,458.0,40.0,40.0,,,9.0,0.0,2,0.0,3.0,1.0,0.0,378.0,80.0
20,,8,2024-10-19,0,85.0,220.0,498.0,,,,,4.0,0.0,3,0.0,2.0,1.0,90.0,413.0,85.0
21,Dejan Kulusevski,8,2024-10-19,0,0.0,90.0,611.0,,,,,5.0,0.0,3,0.0,2.0,1.0,90.0,521.0,90.0
22,Brennan Johnson,8,2024-10-19,0,0.0,69.0,440.0,,,24.0,FW,8.0,0.0,2,0.0,4.0,3.0,0.0,350.0,90.0
23,,8,2024-10-19,0,0.0,87.0,627.0,,,,,4.0,0.0,3,0.0,5.0,11.0,180.0,537.0,90.0
24,Djed Spence,8,2024-10-19,0,0.0,0.0,45.0,,,25.0,DF,,,0,,,,,,0.0
28,Wilson Odobert,8,2024-10-19,1,0.0,0.0,0.0,,0.0,20.0,"FW,MF",,,0,,,,,,0.0
29,Pape Matar Sarr,8,2024-10-19,0,0.0,21.0,353.0,,,23.0,MF,4.0,0.0,2,0.0,3.0,0.0,90.0,308.0,45.0
